Modelo,Marca,Motor,Consumo,Combustible,Comienzo de producción,Fin de producción,Asientos,Puertas,Peso (kg),Carga máxima (kg),País de origen,Precio estimado (€),Matrícula,Fecha de matriculación
GLA,Mercedes-Benz,2.2 Hybrid,8.4,Gasolina,2005,2025,1,4,1118,752,Alemania,15943,4066ECM,28/8/2017
Jazz,Honda,1.6 Turbo,4.4,Diesel,2005,2011,2,2,2460,445,Japón,27803,5133BBK,7/7/2005
A4,Audi,1.6 TDI,7.5,Eléctrico,2009,2016,5,2,1196,416,Alemania,41377,9092UGA,3/1/2015
5008,Peugeot,2.2 TSI,4.8,Híbrido,2005,,1,4,2304,441,Francia,40908,2710ZRN,11/2/2016
C200,Mercedes-Benz,2.2 T,5.3,Gasolina,2011,2011,9,4,957,513,Alemania,21958,5022NFV,8/2/2011
208,Peugeot,2.0 EcoBoost,5.3,Gasolina,2025,2025,1,4,1468,335,Francia,23390,4269FVZ,17/4/2025
GLA,Mercedes-Benz,1.2 TSI,6.4,Diesel,2018,2023,8,2,1580,406,Alemania,24355,7286EPF,10/5/2022
320i,BMW,1.6 EcoBoost,4.4,Diesel,1995,2006,8,4,1235,561,Alemania,19903,4217YOV,22/6/1999
208,Peugeot,2.2 EcoBoost,7.9,Híbrido,2002,,8,2,1048,601,Francia,43825,8282OUH,19/4/2004
A3,Audi,1.6 T,6.6,Gasolina,2007,,8,2,2212,409,Alemania,22717,5370GJL,22/6/2019
Mustang,Ford,1.6 EcoBoost,6.0,Eléctrico,2023,2024,4,2,2226,547,Estados Unidos,50503,9535JBG,14/11/2024
Twingo,Renault,2.0 EcoBoost,6.0,Diesel,2005,2009,2,2,1400,611,Francia,29895,1482DMV,4/4/2009
GLA,Mercedes-Benz,1.6 EcoBoost,5.9,Diesel,2006,2011,2,4,2294,629,Alemania,23140,1875WZB,18/1/2008
X3,BMW,3.0 Turbo,5.1,Diesel,2012,2025,5,4,1804,512,Alemania,24939,1166CEB,11/7/2025
308,Peugeot,1.6 EcoBoost,3.9,Híbrido,2010,2025,9,4,2408,586,Francia,40113,4653CRB,27/2/2021
320i,BMW,1.6 T,7.3,Eléctrico,1996,2009,1,4,928,343,Alemania,31442,1685YXA,20/2/2001
308,Peugeot,2.0 VTEC,5.0,Gasolina,2002,,5,4,1789,543,Francia,15342,3275TNC,21/12/2014
Yaris,Toyota,2.0 TDI,6.8,Híbrido,2000,2007,8,4,1846,332,Japón,30341,6556DGO,22/6/2007
Focus,Ford,1.2 Turbo,4.2,Gasolina,2009,2018,4,2,1786,538,Estados Unidos,17683,2487IZH,22/1/2018
Kuga,Ford,2.2 Turbo,8.5,Diesel,2000,2012,8,2,1808,585,Estados Unidos,25900,5986WQP,7/11/2009
A6,Audi,1.0 Hybrid,4.0,Eléctrico,2010,,2,2,2480,549,Alemania,48326,9437YSI,25/2/2011
