Modelo,Marca,Motor,Consumo,Combustible,Comienzo de producción,Fin de producción,Asientos,Puertas,Peso (kg),Carga máxima (kg),País de origen,Precio estimado (€),Matrícula,Fecha de matriculación
CR-V,Honda,2.2 EcoBoost,4.7,Gasolina,2018,,2,2,2216,395,Japón,26050,4457FXA,6/2/2021
Kona,Hyundai,2.2 VTEC,6.8,Híbrido,1997,2012,8,2,1192,512,Corea del Sur,27699,7267ZXX,25/6/2009
A3,Audi,3.0 Hybrid,7.1,Gasolina,2000,2012,1,2,2310,598,Alemania,25535,9349HOG,10/1/2009
Passat,Volkswagen,2.0 VTEC,8.7,Diesel,2010,,5,4,1460,404,Alemania,33445,7304ZFF,20/7/2023
RAV4,Toyota,1.6 T,8.0,Híbrido,2008,2011,1,2,1684,408,Japón,34865,5586CDN,14/10/2010
A6,Audi,3.0 TDI,4.9,Híbrido,2011,2017,9,2,2489,772,Alemania,22461,2684RAZ,24/3/2012
Kuga,Ford,1.0 Hybrid,8.3,Gasolina,2003,,2,2,1083,315,Estados Unidos,23416,7424VDG,18/12/2010
Clio,Renault,1.2 Turbo,4.8,Híbrido,2017,2019,8,4,1809,532,Francia,23672,9663QMW,3/8/2018
Corolla,Toyota,2.2 TDI,6.5,Diesel,2016,2019,1,4,1527,618,Japón,33895,1236PIS,5/10/2016
Jazz,Honda,1.2 TDI,8.2,Eléctrico,2008,,9,2,1342,508,Japón,51176,3525PSJ,2/9/2017
C200,Mercedes-Benz,2.0 EcoBoost,4.9,Eléctrico,2017,2020,5,2,1597,795,Alemania,30239,7353AGA,23/9/2017
Captur,Renault,1.6 Hybrid,8.5,Híbrido,2016,2017,5,2,2352,796,Francia,41331,2879RAE,20/3/2016
Passat,Volkswagen,1.2 Turbo,5.6,Híbrido,2024,2025,4,2,2170,484,Alemania,39583,2551JJD,26/8/2025
A3,Audi,2.0 Hybrid,9.5,Diesel,2018,2024,4,4,2068,551,Alemania,25049,3937BOH,2/7/2020
Kuga,Ford,2.2 TDI,8.9,Gasolina,2025,2025,8,2,1684,406,Estados Unidos,16285,7986MDW,4/7/2025
3008,Peugeot,1.0 EcoBoost,5.0,Eléctrico,2004,2021,8,4,2475,467,Francia,56302,5721CMM,27/5/2009
Fiesta,Ford,1.0 EcoBoost,7.6,Híbrido,1999,,5,4,1592,621,Estados Unidos,33075,8082UKO,1/8/2019
GLA,Mercedes-Benz,1.6 Turbo,4.3,Híbrido,2019,,5,4,2167,742,Alemania,35803,2258WAN,5/3/2021
Twingo,Renault,2.0 EcoBoost,8.7,Gasolina,2012,2014,9,4,1923,402,Francia,26782,1428DHD,3/9/2012
Kuga,Ford,2.0 Hybrid,7.7,Eléctrico,2018,,2,2,2169,608,Estados Unidos,51860,3976OKE,13/6/2024
Q5,Audi,1.2 T,5.8,Eléctrico,2022,2025,2,4,2159,643,Alemania,48196,8456TRC,28/8/2023
Camry,Toyota,2.0 Hybrid,7.3,Eléctrico,2001,2018,2,4,1017,303,Japón,29169,3891ZTY,8/7/2014
Fiesta,Ford,1.0 EcoBoost,7.0,Diesel,2017,2023,9,4,2485,477,Estados Unidos,20572,1104IIN,20/2/2019
208,Peugeot,1.2 Hybrid,5.8,Gasolina,2019,2022,9,4,1904,576,Francia,16413,6904GLG,19/1/2022
Focus,Ford,1.2 VTEC,7.0,Gasolina,2001,2025,1,2,2455,443,Estados Unidos,19347,7089PFK,19/8/2016
Golf,Volkswagen,1.0 VTEC,7.1,Diesel,2008,,4,2,2315,337,Alemania,30515,1043KDK,26/7/2021
Kona,Hyundai,3.0 TSI,6.9,Eléctrico,2014,,5,4,1275,430,Corea del Sur,56472,1626JQI,18/7/2024
Yaris,Toyota,2.0 EcoBoost,5.0,Gasolina,2006,2013,9,4,1527,445,Japón,26914,1604OUH,26/5/2007
i20,Hyundai,2.2 EcoBoost,4.8,Híbrido,2008,,8,4,2455,576,Corea del Sur,35879,8480XLB,22/8/2011
Jazz,Honda,1.0 Turbo,7.4,Diesel,2022,,5,2,1082,457,Japón,19304,6779VQZ,14/1/2022
A3,Audi,2.0 Turbo,9.1,Híbrido,2012,2016,1,4,1393,638,Alemania,31647,2228EDC,6/10/2016
i10,Hyundai,3.0 EcoBoost,7.4,Gasolina,2008,2011,8,2,2158,311,Corea del Sur,26786,9829BON,16/8/2009
A3,Audi,2.0 Turbo,5.8,Gasolina,1996,2012,5,2,2294,687,Alemania,20088,2165KLI,13/11/2006
Clio,Renault,1.0 VTEC,8.3,Eléctrico,2009,2019,2,2,1897,436,Francia,47634,3303AGU,13/9/2017
i20,Hyundai,2.0 Hybrid,5.7,Diesel,2012,2023,2,4,2384,550,Corea del Sur,25289,3799YSU,22/3/2018
GLA,Mercedes-Benz,3.0 Turbo,9.4,Híbrido,2020,2023,1,2,2396,686,Alemania,29742,6072AVN,5/2/2021
X5,BMW,1.2 T,6.6,Eléctrico,2011,2011,9,4,1858,666,Alemania,40594,1802DKE,12/2/2011
Jazz,Honda,1.4 TSI,7.9,Híbrido,1999,,2,2,955,580,Japón,39542,5509YKF,24/6/2019
Megane,Renault,2.2 Hybrid,3.7,Híbrido,2010,2024,1,4,1945,709,Francia,41743,9234BSV,13/5/2019
Q5,Audi,2.0 T,7.3,Eléctrico,2025,2025,2,2,1170,606,Alemania,29137,6882IDM,11/9/2025
Camry,Toyota,2.2 EcoBoost,6.4,Gasolina,2012,2012,4,4,1446,599,Japón,18323,6319CAI,14/8/2012
RAV4,Toyota,1.0 EcoBoost,9.2,Gasolina,1998,2002,2,2,1329,672,Japón,27327,7143WDL,28/4/2000
RAV4,Toyota,2.2 EcoBoost,9.5,Híbrido,2014,2023,4,4,1029,753,Japón,36920,8466ACJ,19/8/2016
Fiesta,Ford,1.2 EcoBoost,4.0,Eléctrico,2024,2024,9,2,1499,564,Estados Unidos,42527,1881NIE,20/10/2024
Focus,Ford,1.0 VTEC,5.8,Eléctrico,2014,2019,4,2,1376,427,Estados Unidos,50634,4356TVA,18/1/2016
Focus,Ford,1.4 T,8.4,Eléctrico,2016,,4,4,1259,717,Estados Unidos,26294,7910NTX,27/12/2018
GLA,Mercedes-Benz,2.2 Turbo,5.7,Híbrido,2008,2022,4,2,2233,696,Alemania,33794,5440CBJ,16/1/2013
Clio,Renault,1.6 EcoBoost,4.3,Eléctrico,2019,2022,8,2,901,605,Francia,56106,6126LNG,18/4/2021
X5,BMW,3.0 VTEC,6.8,Gasolina,2007,2024,4,2,2415,551,Alemania,26926,3237BCP,24/8/2024
Fiesta,Ford,1.0 Turbo,7.7,Gasolina,2022,,9,4,2372,438,Estados Unidos,28498,9738YCT,1/9/2023
